,cluster_0,cluster_1,cluster_2
nucleus_major_axis_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_major_axis_Robust_Skewness,0.0,0.0,0.0
nucleus_major_axis_Robust_Kurtosis,0.0,0.0,0.0
nucleus_max_curvature_s1_Median,0.0,0.0,0.0
nucleus_max_curvature_s1_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_max_curvature_s1_Robust_Skewness,0.0,0.0,0.0
nucleus_max_curvature_s1_Robust_Kurtosis,0.0,0.0,0.0
nucleus_minor_axis_Median,0.0,0.0,0.0
nucleus_minor_axis_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_minor_axis_Robust_Skewness,0.0,0.0,0.0
nucleus_minor_axis_Robust_Kurtosis,0.0,0.0,0.0
nucleus_orientation_Median,0.0,0.0,0.0
nucleus_orientation_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_orientation_Robust_Skewness,0.0,0.0,0.0
nucleus_orientation_Robust_Kurtosis,0.0,0.0,0.0
nucleus_perimeter_Median,0.0,0.0,0.0
nucleus_perimeter_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_perimeter_Robust_Skewness,0.0,0.0,0.0
nucleus_perimeter_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_0_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_0_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_0_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_0_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_10_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_10_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_10_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_10_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_10_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_10_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_10_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_10_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_11_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_11_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_11_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_11_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_11_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_11_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_11_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_11_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_1_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_1_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_1_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_1_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_1_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_1_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_1_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_1_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_2_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_2_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_2_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_2_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_2_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_2_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_2_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_2_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_3_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_3_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_3_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_3_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_3_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_3_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_3_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_3_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_4_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_4_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_4_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_4_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_4_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_4_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_4_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_4_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_5_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_5_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_5_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_5_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_5_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_5_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_5_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_5_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_6_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_6_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_6_mean_Robust_Skewness,0.0,0.0,0.0
