,0,1,2,3,4
103,COL1A2,HMGA2,TOB1,PDCD1LG2,TGFB2
104,COL6A2,HOXC10,TOM1L1,PDE7B,TMEM106A
105,COL8A1,HOXC13,TPPP3,PDGFRA,TMEM140
106,COLEC11,HS3ST3B1,TRAM1,PHTF1,TNFRSF1A
107,CPA1,HSD17B14,TSPYL5,PI3,TNFRSF4
108,CPA4,HSD17B7P2,TSPYL5,PIPOX,TNFSF10
109,CPNE8,HSPA1A,TTC12,PLA2G5,TNFSF13B
110,CRB2,IGF2BP3,UCP2,PLCB2,TREM2
111,CROT,ILVBL,VASN,PPIC,TRIB2
112,CRYGD,IRAK4,WFDC2,PPP1R3B,TUBA1C
113,CSRP1,IRF7,WWTR1,PRKD2,VAMP8
114,CTSC,ISLR,ZAR1,PRPH,VNN1
115,CTSK,ITGA4,ZMYND10,PTGS1,XAF1
116,CTSZ,ITGB4,,PTPN22,
117,CXCR4,KCNA4,,PTPN7,
118,CYB561,KCTD4,,RBMS1,
119,CYB5R1,KDELR3,,RGR,
120,CYP27B1,KHDRBS2,,RPP30,
121,CYP2S1,KIAA0040,,SAA1,
122,CYP7B1,KIAA1377,,SAA2,
123,DCHS1,LACTB2,,SEPT1,
124,DCTD,LAMA1,,SERPINA1,
125,DDB2,LAMC1,,SIGLEC7,
126,DDX43,LOX,,SIRPG,
127,DEF6,LRFN5,,SLA,
128,DES,LRRC4,,SLAMF7,
129,DIRAS3,LYPD5,,SLAMF8,
130,DKK3,LYPLA1,,SLC11A1,
131,DMBX1,LYSMD4,,SLC25A43,
132,DNMT3A,MACROD2,,SLC47A2,
133,DOK5,MAP3K6,,SMG6,
134,DOK7,MAPK8IP2,,SNRPB,
135,DPP7,MARVELD1,,SOCS2,
136,DSE,METTL7B,,SP110,
137,DUSP1,MICB,,SP140,
138,DYNLT3,MIPOL1,,STRA6,
139,ECHDC3,MPZ,,STX1B,
140,EFEMP2,MSX2,,SYNPO2L,
141,EGLN2,NANP,,TCF19,
142,EHD2,NCAPH,,TIMP4,
143,EHHADH,NEIL3,,TM4SF1,
144,ELF4,NEK11,,TMED5,
145,EMILIN1,NETO1,,TMEM173,
146,EMILIN3,NETO2,,TMEM59,
147,EMP2,NF1,,TMEM71,
148,ENPEP,NHLH1,,TNFRSF12A,
149,ENTPD2,NLGN2,,TREML2,
150,EPHA2,NLGN2,,TRIM36,
151,EREG,NME3,,TRIM38,
152,ERRFI1,NME6,,USP32,
153,ESAM,NPY5R,,USP54,
154,EYA4,NQO1,,ZCCHC14,
155,F13A1,NRAS,,ZIC3,
156,FAH,NUDT12,,,
157,FAIM,NUP210,,,
158,FAM114A1,OR2L13,,,
159,FAM119B,OSBPL9,,,
160,FAM19A3,PABPC5,,,
161,FAM26E,PAK7,,,
162,FAM3C,PCK2,,,
163,FAM50B,PDLIM3,,,
164,FAM86C,PDLIM7,,,
165,FAM89A,PFKFB4,,,
166,FBLN1,PLAC8,,,
167,FBLN2,PLEKHF2,,,
168,FBP1,PLK1,,,
169,FBXO4,PLXNB1,,,
170,FBXO6,POLR1D,,,
171,FGF1,POU4F1,,,
172,FGFBP2,PRDM5,,,
173,FGFRL1,PSMB10,,,
174,FHL3,PSMB2,,,
175,FIBIN,PXMP4,,,
176,FKBP5,PYGL,,,
177,FKBP9,RAB27A,,,
178,FLNC,RBM7,,,
179,FN1,RBMS1,,,
180,FNDC3B,RELN,,,
181,FOXJ1,RGS19,,,
182,FSTL1,RNF149,,,
183,FUCA2,RNF17,,,
