CPA4,0.9494565217391304
CA2,0.9483333333333334
NQO2,0.9480519480519479
DDB2,0.946998377501352
LOXL4,0.9464285714285714
SLC27A3,0.9441734417344172
FBP1,0.9436314363143632
ACADS,0.9415900486749594
MDK,0.9383450513791238
COL5A1,0.9377705627705628
AK3L1,0.936951754385965
EMILIN3,0.9361471861471862
C11orf63,0.93550135501355
ZAK,0.9333333333333332
TGFBR2,0.9307146753955264
NUDT16,0.9301948051948052
RAB33B,0.9301948051948052
FAS,0.9284552845528456
ITGA3,0.9284552845528456
PRSS23,0.9279869067103109
LMNA,0.9273809523809524
SMPD3,0.9271924986210699
SHROOM3,0.9266409266409266
HDC,0.9265350877192982
EMP3,0.9264467279610601
IQGAP2,0.9264069264069263
CBR1,0.9253650621957816
MGP,0.9252591380250956
LTBP1,0.9248242293131422
CHST14,0.9248242293131422
PITX1,0.924283396430503
FGFRL1,0.9226608977825852
CYP27A1,0.922120064899946
TMEM2,0.9221200648999458
ABHD8,0.9219512195121952
PDPN,0.9215367965367964
FKBP9,0.9209956709956708
SIPA1,0.9204975662520279
PGAM2,0.920108695652174
TMEM106C,0.9198036006546644
PRPH,0.9197831978319784
ACTC1,0.9190217391304348
GPR128,0.91869918699187
PIPOX,0.9184782608695652
ADAM33,0.9176151761517616
FHL3,0.9172077922077922
CSTB,0.9170868347338936
ESAM,0.9159891598915988
PPIC,0.915966386554622
ADPRH,0.9155844155844156
MCM2,0.9153596538669552
EFEMP2,0.9150432900432901
SLC44A3,0.91504329004329
RARRES2,0.9149051490514905
SOCS1,0.9149051490514905
WWTR1,0.9146739130434782
TNFRSF1A,0.9144736842105264
MGST2,0.9143631436314364
CRB2,0.9143631436314364
MYCBP,0.9142857142857144
F13A1,0.9141304347826088
MMP7,0.913279132791328
SSH3,0.9123376623376624
BLOC1S2,0.9117484831770546
RARRES1,0.9107142857142856
PPIL5,0.9105291871249318
TMEM106A,0.910221741481882
ST3GAL4,0.9101731601731602
C10orf107,0.9101731601731602
EPB41L3,0.9095394736842104
AMIGO2,0.9094380796508456
MX2,0.9090909090909092
CYB561,0.9081632653061223
SEMA3E,0.9081521739130436
HAPLN3,0.9072558647026732
CDK4,0.9070028011204484
GSX2,0.9062330623306234
MFAP4,0.9061583577712611
PICK1,0.905844155844156
FAM86C,0.905844155844156
C21orf63,0.9054347826086956
STEAP3,0.9053542455381288
SLC2A10,0.9051490514905148
IFI44,0.9051296194153338
TMEM59,0.905
PTPN18,0.9042207792207791
PPIA,0.9042207792207791
SFRP4,0.9040650406504064
CHL1,0.9040570175438596
C13orf29,0.903782894736842
DOK7,0.9029810298102979
ANUBL1,0.9025974025974024
MT1E,0.902439024390244
UPP1,0.9024122807017544
CLEC12A,0.9023717595146166
LRRFIP1,0.9020562770562772
TNFSF10,0.9004867495943754
DEDD2,0.9004867495943754
RGS16,0.9004524886877827
ITGB7,0.8999999999999999
RDM1,0.8999459167117361
TPPP3,0.8997289972899729
C4orf6,0.8994050838290969
LOXL1,0.8983695652173913
EYA4,0.8972826086956521
TOM1L1,0.8971861471861472
ALDH7A1,0.8961038961038961
LOXL3,0.8961038961038961
PRDX1,0.8953929539295393
AQP4,0.8953929539295392
DUSP5,0.8953929539295392
RLBP1,0.8952850877192984
RPP25,0.8947081287506818
SH2D4A,0.8942099567099566
ENG,0.8941885964912281
PI3,0.8938888888888891
CD83,0.8935466078323221
F2RL2,0.8929971988795519
MOSC2,0.8921409214092142
SLC25A20,0.8919803600654664
VNN1,0.8918478260869566
SNX21,0.8915989159891601
EPHA2,0.8914348063284234
PPP1R3B,0.8913403199117484
BCAT2,0.8907887479316051
BST2,0.8907608695652174
BATF,0.8906926406926408
SERPINA3,0.8899371069182389
MYBL2,0.8892525913802509
LGALS8,0.8888888888888888
LATS2,0.8887070376432078
SLPI,0.8885824600110315
DPP7,0.8885281385281385
C7orf23,0.8881614839061647
RHOQ,0.8881614839061647
COL5A2,0.8879551820728291
SLC2A4RG,0.8872222222222221
WFIKKN2,0.8869047619047619
SLC11A1,0.886720867208672
CIITA,0.8862520458265141
SLAMF1,0.8859792689579924
TRIP4,0.8859792689579924
FBXO4,0.8859649122807017
VASN,0.8848881614839061
ANXA2,0.8847222222222223
DMBX1,0.8845528455284553
GMPR,0.8845528455284553
C20orf195,0.884505431675243
TMEM51,0.8842617631151974
RPP30,0.8840336134453781
SLC47A2,0.8839285714285714
C1S,0.8838888888888888
NNMT,0.8826979472140762
THBS4,0.8826086956521738
RBP1,0.8825757575757576
FLNC,0.8825757575757576
C9orf95,0.8825231481481481
GALNT5,0.8820652173913044
C9orf68,0.8820346320346321
FBXO6,0.8819444444444444
BATF2,0.8805031446540881
MT2A,0.8804112554112554
SRGN,0.8802168021680217
ACAA2,0.8799342105263158
OR51E2,0.8795518207282913
C6orf141,0.8788043478260871
FKBP9L,0.8787053841500303
RRAD,0.8785326086956521
LYZ,0.878393665158371
C3orf64,0.8782608695652174
KHDRBS2,0.8782608695652174
GPR176,0.8779761904761905
PTPN9,0.877795962902346
PLAC8,0.8777173913043478
ITGB1BP1,0.8773109243697478
LYN,0.8771645021645023
SWAP70,0.8770726129216695
RIN1,0.8769647696476965
WEE1,0.8765008576329332
C2orf3,0.8760869565217391
FAM114A1,0.8760822510822509
NSUN7,0.875548245614035
FBLN5,0.8755411255411255
IMPA2,0.8753447324875896
NDUFA4L2,0.8749999999999999
LGALS3,0.8742415885273028
F3,0.8741883116883117
FBXO17,0.8739130434782609
RAB42,0.8737127371273713
NMNAT3,0.8736413043478259
