,accuracy,precision,recall,f1score,AUC,AP
Logistic Regression,0.7325581395348837,0.7336043360433604,0.7335646841081624,0.7324170198430143,0.7917145053014618,0.790210927436775
Random Forest,0.8333333333333334,0.8320593681475867,0.8361270982297265,0.8307918963024289,0.9119150999188546,0.8764929684814784
Support Vector Machines,0.7751937984496124,0.776918798521586,0.776642656777445,0.7743658853252028,0.8302203679931536,0.7949930647225213
Naive Bayes,0.8139534883720931,0.8229944346159517,0.8150878705756756,0.8129545577652006,0.8628432994286653,0.8789762554426247
Neural Network,0.7441860465116279,0.748996666554806,0.7519554008657234,0.7431247391073686,0.8668367103714276,0.8787056028535157
